"year","title","artists","All artist","main_artist","genius_url","lyrics"
2008,"Cleaning This Gun (Come On In Boy)","Rodney Atkins",NA,"Rodney Atkins","https://genius.com/Rodney-atkins-cleaning-this-gun-come-on-in-boy-lyrics",NA
2008,"Fearless","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-fearless-lyrics",NA
2008,"Love Story","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-love-story-lyrics",NA
2007,"Our Song","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-our-song-lyrics",NA
2007,"Never Wanted Nothing More","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-never-wanted-nothing-more-lyrics",NA
2007,"Watching You","Rodney Atkins",NA,"Rodney Atkins","https://genius.com/Rodney-atkins-watching-you-lyrics",NA
2007,"Don't Blink","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-dont-blink-lyrics",NA
2007,"She's Everything","Brad Paisley",NA,"Brad Paisley","https://genius.com/Brad-paisley-shes-everything-lyrics",NA
2007,"So Small","Carrie Underwood",NA,"Carrie Underwood","https://genius.com/Carrie-underwood-so-small-lyrics",NA
2007,"Take Me There","Rascal Flatts",NA,"Rascal Flatts","https://genius.com/Rascal-flatts-take-me-there-lyrics",NA
2007,"Stay","Sugarland",NA,"Sugarland","https://genius.com/Sugarland-stay-lyrics",NA
2007,"Wasted","Carrie Underwood",NA,"Carrie Underwood","https://genius.com/Carrie-underwood-wasted-lyrics",NA
2007,"It Just Comes Natural","George Strait",NA,"George Strait","https://genius.com/George-strait-it-just-comes-natural-lyrics",NA
2006,"Jesus, Take The Wheel","Carrie Underwood",NA,"Carrie Underwood","https://genius.com/Carrie-underwood-jesus-take-the-wheel-lyrics",NA
2006,"Before He Cheats","Carrie Underwood",NA,"Carrie Underwood","https://genius.com/Carrie-underwood-before-he-cheats-lyrics",NA
2006,"What Hurts The Most","Rascal Flatts",NA,"Rascal Flatts","https://genius.com/Rascal-flatts-what-hurts-the-most-lyrics",NA
2006,"Summertime","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-summertime-lyrics",NA
2006,"She's Everything","Brad Paisley",NA,"Brad Paisley","https://genius.com/Brad-paisley-shes-everything-lyrics",NA
2006,"If You're Going Through Hell (Before The Devil Even Knowns)","Rodney Atkins",NA,"Rodney Atkins",NA,NA
2006,"Want To","Sugarland",NA,"Sugarland","https://genius.com/Sugarland-want-to-lyrics",NA
2006,"Who Says You Can't Go Home","Bon Jovi","Jennifer Nettles","Bon Jovi","https://genius.com/Bon-jovi-who-says-you-cant-go-home-lyrics",NA
2006,"My Wish","Rascal Flatts",NA,"Rascal Flatts","https://genius.com/Rascal-flatts-my-wish-lyrics",NA
2006,"Leave The Pieces","The Wrickers",NA,"The Wrickers","https://genius.com/The-wreckers-leave-the-pieces-lyrics",NA
